transecto,tempo,Henrique,Elildo,ambiente,Obs,S1,S2,B,grupo_max,total,Latitude,Longitude,Altitude,Data,Compriment,Azimute_Gr,Velocidade_km_h,id_view,FID_2,setor,aero,dens.observ
a3,t22,0,0,,,0,0,0,0,0,1.54109738767,-50.5115407147,104,26/nov/2017 10:34:02,1411,1.59442317274,169.28,a3t22,3,Piratuba_Noroeste,eurocopter,0
a3,t23,0,0,,,0,0,0,0,0,1.55379270203,-50.5115506891,91,26/nov/2017 10:34:32,1404,359.954697312,168.46,a3t23,3,Piratuba_Noroeste,eurocopter,0
a3,t24,0,0,,,0,0,0,0,0,1.56612885185,-50.5117982905,91,26/nov/2017 10:35:02,1364,358.842849687,163.72,a3t24,3,Piratuba_Noroeste,eurocopter,0
a3,t25,0,0,,,0,0,0,0,0,1.57910353504,-50.5117309839,63,26/nov/2017 10:35:32,1435,0.299109410702,172.2,a3t25,3,Piratuba_Noroeste,eurocopter,0
a3,t3,0,0,c,,0,0,0,0,0,1.29136193544,-50.5133409798,105,26/nov/2017 10:24:32,1478,4.32927127867,177.3,a3t3,4,Piratuba_ Araguari,eurocopter,0
a3,t4,0,0,c,,0,0,0,0,0,1.30462705158,-50.5125618819,112,26/nov/2017 10:25:02,1469,3.38299644007,176.32,a3t4,3,Piratuba_Noroeste,eurocopter,0
a3,t5,0,0,m,,0,0,0,0,0,1.31768127903,-50.5123386718,102,26/nov/2017 10:25:32,1444,0.985923301638,173.25,a3t5,3,Piratuba_Noroeste,eurocopter,0
a3,t6,0,0,cm,,0,0,0,0,0,1.33079887368,-50.5121271964,99,26/nov/2017 10:26:02,1451,0.929583946555,174.08,a3t6,3,Piratuba_Noroeste,eurocopter,0
a3,t7,0,0,cm,,0,0,0,0,0,1.34364380501,-50.512037091,97,26/nov/2017 10:26:32,1420,0.404511467052,170.44,a3t7,3,Piratuba_Noroeste,eurocopter,0
a3,t8,0,0,ac,,0,0,0,0,0,1.35626552626,-50.5119857937,109,26/nov/2017 10:27:02,1396,0.234363246988,167.48,a3t8,3,Piratuba_Noroeste,eurocopter,0
a3,t9,0,0,c,,0,0,0,0,0,1.36871173047,-50.5117604043,113,26/nov/2017 10:27:32,1376,1.04414933326,165.18,a3t9,3,Piratuba_Noroeste,eurocopter,0
a4,t1,0,0,,,0,0,0,0,0,1.57908383757,-50.495692296,115,26/nov/2017 10:47:32,1616,179.815462011,193.92,a4t1,3,Piratuba_Noroeste,eurocopter,0
a4,t10,0,0,,,0,0,0,0,0,1.45427126437,-50.4944392852,104,26/nov/2017 10:52:02,1491,180.795005333,178.93,a4t10,3,Piratuba_Noroeste,eurocopter,0
a4,t11,0,0,,,0,0,0,0,0,1.44020810723,-50.4944733158,91,26/nov/2017 10:52:32,1555,180.139535801,186.61,a4t11,3,Piratuba_Noroeste,eurocopter,0
a4,t12,0,0,,,0,0,0,0,0,1.42639104277,-50.4942584876,78,26/nov/2017 10:53:02,1528,179.103514355,183.37,a4t12,3,Piratuba_Noroeste,eurocopter,0
a4,t13,0,0,,,0,0,0,0,0,1.41326900572,-50.4939593375,94,26/nov/2017 10:53:32,1451,178.685630246,174.17,a4t13,3,Piratuba_Noroeste,eurocopter,0
a4,t14,0,0,,,0,0,0,0,0,1.39973893762,-50.4935998376,99,26/nov/2017 10:54:02,1497,178.468194637,179.6,a4t14,3,Piratuba_Noroeste,eurocopter,0
a4,t15,0,0,,,0,0,0,0,0,1.38643350452,-50.4931980092,105,26/nov/2017 10:54:32,1472,178.259039871,176.63,a4t15,3,Piratuba_Noroeste,eurocopter,0
a4,t16,0,0,,,0,0,0,0,0,1.37298256159,-50.4933367297,104,26/nov/2017 10:55:02,1487,180.594683184,178.49,a4t16,3,Piratuba_Noroeste,eurocopter,0
a4,t17,0,0,,,0,0,0,0,0,1.35927588679,-50.4934646375,105,26/nov/2017 10:55:32,1516,180.538106393,181.88,a4t17,3,Piratuba_Noroeste,eurocopter,0
a4,t18,0,0,,,0,0,0,0,0,1.34528565221,-50.4936994147,100,26/nov/2017 10:56:02,1547,180.967626723,185.66,a4t18,3,Piratuba_Noroeste,eurocopter,0
a4,t19,3,0,,,0,0,1,3,3,1.33132953197,-50.4937454313,91,26/nov/2017 10:56:32,1543,180.190138291,185.19,a4t19,3,Piratuba_Noroeste,eurocopter,7.12184769216526
a4,t2,1,0,,,1,0,0,1,1,1.5646338556,-50.4955731891,95,26/nov/2017 10:48:02,1598,179.524735862,191.76,a4t2,3,Piratuba_Noroeste,eurocopter,2.19572711503414
a4,t20,0,0,,,0,0,0,0,0,1.31804471835,-50.4931651521,102,26/nov/2017 10:57:02,1470,177.482756583,176.45,a4t20,3,Piratuba_Noroeste,eurocopter,0
a4,t21,0,0,,,0,0,0,0,0,1.3044020813,-50.4928727075,102,26/nov/2017 10:57:32,1509,178.764042406,181.07,a4t21,4,Piratuba_ Araguari,eurocopter,0
a4,t22,0,0,,,0,0,0,0,0,1.29100436345,-50.4923577234,103,26/nov/2017 10:58:02,1483,177.784486097,177.91,a4t22,4,Piratuba_ Araguari,eurocopter,0
a4,t23,0,0,,,0,0,0,0,0,1.27703617327,-50.4921333399,102,26/nov/2017 10:58:32,1545,179.073717569,185.37,a4t23,4,Piratuba_ Araguari,eurocopter,0
a4,t24,0,0,,,0,0,0,0,0,1.26291576773,-50.4926339071,101,26/nov/2017 10:59:02,1562,182.043449337,187.48,a4t24,4,Piratuba_ Araguari,eurocopter,0
a4,t25,0,0,,,0,0,0,0,0,1.24937664717,-50.4925245233,104,26/nov/2017 10:59:32,1497,179.534104835,179.66,a4t25,4,Piratuba_ Araguari,eurocopter,0
a4,t26,0,0,,,0,0,0,0,0,1.23527593911,-50.4928878788,87,26/nov/2017 11:00:02,1560,181.485699223,187.18,a4t26,0,Piratuba_ Araguari,eurocopter,0
a4,t27,20,0,,,0,0,1,20,20,1.22167252935,-50.4927828535,82,26/nov/2017 11:00:32,1504,179.554777751,180.51,a4t27,0,Piratuba_ Araguari,eurocopter,54.0563916277461
